Scope,Reason,Applications,Share (%)
All,Skills Mismatch,49,24.5
All,Culture Fit,45,22.5
All,Better Candidate,44,22.0
All,Comp Expectation,26,13.0
All,Position Cancelled,18,9.0
All,No Show,18,9.0
Job Board - No Formal Interview Logged,Culture Fit,18,21.4
Job Board - No Formal Interview Logged,Comp Expectation,17,20.2
Job Board - No Formal Interview Logged,Skills Mismatch,16,19.0
Job Board - No Formal Interview Logged,No Show,12,14.3
Job Board - No Formal Interview Logged,Position Cancelled,11,13.1
Job Board - No Formal Interview Logged,Better Candidate,10,11.9
Job Board - Had a Formal Interview,Better Candidate,23,38.3
Job Board - Had a Formal Interview,Skills Mismatch,19,31.7
Job Board - Had a Formal Interview,Culture Fit,16,26.7
Job Board - Had a Formal Interview,Comp Expectation,2,3.3
